n=710=2 * 5 * 71, d=144
n=714=2 * 3 * 7 * 17, d=20
n=714=2 * 3 * 7 * 17, d=36
n=718=2 * 359, d=16
n=718=2 * 359, d=48
n=718=2 * 359, d=80
n=718=2 * 359, d=144
n=718=2 * 359, d=240
n=718=2 * 359, d=720
n=730=2 * 5 * 73, d=148
n=734=2 * 367, d=32
n=734=2 * 367, d=736
n=742=2 * 7 * 53, d=20
n=742=2 * 7 * 53, d=16
n=742=2 * 7 * 53, d=36
n=742=2 * 7 * 53, d=108
n=746=2 * 373, d=44
n=746=2 * 373, d=68
n=746=2 * 373, d=748
n=754=2 * 13 * 29, d=20
n=754=2 * 13 * 29, d=60
n=758=2 * 379, d=8
n=758=2 * 379, d=40
n=758=2 * 379, d=152
n=758=2 * 379, d=760
n=762=2 * 3 * 127, d=8
n=762=2 * 3 * 127, d=24
n=762=2 * 3 * 127, d=256
n=766=2 * 383, d=256
n=766=2 * 383, d=768
n=770=2 * 5 * 7 * 11, d=20
n=770=2 * 5 * 7 * 11, d=30
n=770=2 * 5 * 7 * 11, d=60
n=777=3 * 7 * 37, d=24
n=778=2 * 389, d=12
n=778=2 * 389, d=20
n=778=2 * 389, d=60
n=778=2 * 389, d=52
n=778=2 * 389, d=156
n=778=2 * 389, d=260
n=778=2 * 389, d=780
n=782=2 * 17 * 23, d=12
n=782=2 * 17 * 23, d=20
n=782=2 * 17 * 23, d=36
n=782=2 * 17 * 23, d=48
n=786=2 * 3 * 131, d=8
n=786=2 * 3 * 131, d=24
n=786=2 * 3 * 131, d=88
n=786=2 * 3 * 131, d=264
n=790=2 * 5 * 79, d=32
n=790=2 * 5 * 79, d=160
n=794=2 * 397, d=796
n=798=2 * 3 * 7 * 19, d=8
n=798=2 * 3 * 7 * 19, d=24
n=798=2 * 3 * 7 * 19, d=16
n=798=2 * 3 * 7 * 19, d=40
n=802=2 * 401, d=12
n=802=2 * 401, d=268
n=802=2 * 401, d=804
n=806=2 * 13 * 31, d=28
n=806=2 * 13 * 31, d=64
n=814=2 * 11 * 37, d=30
